Pergunta|Resposta|Tags
Nosso SFN (Sistema Financeiro Nacional) é composto por instituições e responsáveis por: (a) Captar recursos financeiros, fazer sua distribuição, além de circular valores e regular este processo (b) Exclusivamente transferir recursos de agentes superavitários para os agentes deficitários (c) Exclusivamente transferir recursos de agentes deficitários para os agentes superavitários (d) Nenhuma das alternativas|Resposta: (a) Captar recursos financeiros, fazer sua distribuição, além de circular valores e regular este processo. Comentário: O SFN é o conjunto de instituições e regras que permite a captação, distribuição e circulação de recursos na economia, sendo a regulação um componente essencial.|SFN_Funções
A respeito dos crimes contra o mercado de capitais, analise a situação onde o CFO de uma empresa tem acesso a informações não divulgadas ao mercado sobre uma fusão importante de uma empresa listada em bolsa. Qual das alternativas é a correta: (a) Este CFO incorreu no crime de insider trading (b) Este CFO incorreu no crime de insider information (c) O CFO teve acesso a insider information, porém, não é possível aferir se cometeu o crime de insider trading (d) O CFO teve acesso a insider trading, porém, não é possível aferir se cometeu o crime de insider information|Resposta: (c) O CFO teve acesso a insider information, porém, não é possível aferir se cometeu o crime de insider trading. Comentário: A posse da informação privilegiada (Insider Information) é diferente do uso da informação para negociar (Insider Trading). Não é possível afirmar que houve o crime sem saber se o CFO negociou as ações.|Ética_Insider
Sabe-se que o BACEN usa a política monetária para manter a estabilidade de preços mantendo a inflação na meta definida pelo CMN, caso a meta não seja atingida, o BACEN deve: (a) Publicar uma carta aberta ao mercado explicando os motivos do não cumprimento da meta estabelecida pela ANBIMA (b) Não tomar nenhuma ação, já que a meta pode ser atingida ou não (c) Convocar uma reunião entre o CMN e o BACEN para discutir os motivos do descumprimento (d) Emitir uma carta aberta ao mercado detalhando os motivos do não cumprimento da meta|Resposta: (d) Emitir uma carta aberta ao mercado detalhando os motivos do não cumprimento da meta. Comentário: A responsabilidade fiduciária do BACEN é a de cumprir a meta de inflação. Em caso de descumprimento, o Presidente do BACEN deve emitir uma carta pública (aberta ao mercado) explicando as razões ao CMN.|BACEN_Metas
Quem são considerados investidores qualificados? (a) Investidores Profissionais e Clubes de Investimento (b) Investidores Profissionais e Pessoas Jurídicas com mais de R$ 1 milhão em investimentos que atestem por escrito esta condição (c) Pessoas Jurídicas com mais de R$ 1 milhão em investimentos e Clubes de Investimento (d) Investidores Profissionais, Pessoas Jurídicas com mais de R$ 1 milhão em investimentos e Clubes de Investimento|Resposta: (b) Investidores Profissionais e Pessoas Jurídicas com mais de R$ 1 milhão em investimentos que atestem por escrito esta condição. Comentário: Investidores Qualificados são aqueles com patrimônio de R$ 1 milhão (com atestação) e aqueles já classificados como Investidores Profissionais (que possuem mais de R$ 10 milhões ou são instituições).|Investidores_Qualificados
Um banco de investimentos pode, exceto: (a) Fazer captação de depósitos à vista (b) Adquirir ativos no mercado de capitais (c) Oferecer empréstimos para capital de giro e capital fixo de empresas (d) Administrar fundos de investimentos|Resposta: (a) Fazer captação de depósitos à vista. Comentário: Bancos de Investimento são instituições de captação a prazo (não captam depósitos à vista) e, portanto, não possuem conta corrente, o que é permitido apenas em Bancos Comerciais.|Bancos
Analisando a seguinte situação qual foi o crime e a penalidade aplicável. João trabalha como CFO numa empresa listada em bolsa e compartilhou com seu pai uma informação não pública sobre possível aquisição, e seu pai comprou ações da empresa que seria adquirida antes da divulgação ao mercado. (a) Tanto João quanto seu pai cometeram Insider Trading. Pena de 1 a 5 anos de reclusão e multa até 3 vezes o valor da vantagem obtida (b) Tanto João quanto seu pai cometeram Front Running. Pena de 1 a 5 anos de reclusão e multa até 3 vezes o valor da vantagem obtida (c) Tanto João quanto seu pai cometeram Insider Trading. Pena de 5 a 10 anos de reclusão e multa até 3 vezes o valor da vantagem obtida (d) Ambos cometeram Front Running, sujeitos a 5 a 10 anos de reclusão e multa até 3 vezes o valor da vantagem|Resposta: (a) Tanto João quanto seu pai cometeram Insider Trading. Pena de 1 a 5 anos de reclusão e multa até 3 vezes o valor da vantagem obtida. Comentário: João é o agente primário (acesso natural), e o pai é o agente secundário (recebe a informação). O uso de informação não pública para negociar é Insider Trading, com pena de 1 a 5 anos e multa até 3x a vantagem.|Ética_Insider
Qual das alternativas aponta corretamente os objetivos do CMN: I. Proporcionar o aperfeiçoamento das instituições financeiras e seus instrumentos financeiros buscando maior eficiência do sistema de pagamentos; II. Adapta o volume dos meios de pagamentos às necessidades da economia e seu desenvolvimento: (a) II apenas (b) I apenas (c) I e II (d) Nenhuma das alternativas|Resposta: (b) I apenas. Comentário: O objetivo I está correto (zelar pelo aperfeiçoamento das instituições). O objetivo II é uma função executiva do Banco Central (adaptação do volume de meios de pagamento), e não uma função normativa do CMN.|CMN
De acordo com o Código de Distribuição de Produtos de Investimento da ANBIMA, o administrador fiduciário é definido como: (a) Uma pessoa jurídica autorizada pela CVM que atua como garantidora nas operações (b) Uma pessoa jurídica autorizada pela CVM para prestar serviços relacionados ao funcionamento e manutenção do Fundo (c) O profissional encarregado de elaborar os portfólios estratégicos e recomendações táticas para cada perfil de investimento (d) Uma pessoa jurídica autorizada pela CVM para a Gestão de Recursos de Terceiros.|Resposta: (b) Uma pessoa jurídica autorizada pela CVM para prestar serviços relacionados ao funcionamento e manutenção do Fundo. Comentário: O administrador fiduciário (ou administrador) é responsável legal pelo fundo, incluindo a manutenção, a documentação e a contratação de prestadores de serviço (como o gestor e o custodiante).|Fundos_Partes
Sobre SCTVMS e SDTVMs, qual das alternativas está correta: I. Atualmente corretoras e distribuidoras tem a mesma função; II. Necessitam de autorização do BACEN para funcionar; III. Durante o período de distribuição primária de um valor mobiliário não podem cobrar corretagem; IV. Tem por objeto social fazer a intermediação de oferta pública e distribuição de títulos e valores mobiliários no mercado; V. Pode fazer a guarda de moeda eletrônica (a) I, II, III e IV (b) I, III e IV (c) II, III e IV (d) I, II, III, IV e V|Resposta: (d) I, II, III, IV e V. Comentário: Corretoras (CTVM) e Distribuidoras (DTVM) hoje têm funções consolidadas (I), são fiscalizadas pelo BACEN (II), e têm o objeto social de intermediar a distribuição (IV). A cobrança de corretagem é proibida na distribuição primária (III), e elas podem fazer a guarda de moeda eletrônica (V).|SFN_Participantes
São funções das SDTVMs e SCTVMS, exceto: (a) Emitir papel moeda (b) Comprar e vender títulos e valores mobiliários por conta própria (c) Representar os direitos dos debenturistas (d) Nenhuma das anteriores|Resposta: (a) Emitir papel moeda. Comentário: A emissão de papel moeda é função exclusiva do Banco Central (BACEN). As corretoras/distribuidoras podem comprar/vender ativos para carteira própria (b) e atuar como Agente Fiduciário (representante dos debenturistas) (c).|SFN_Participantes
